URL,Size (Bytes),# of Outlinks,Content Type
https://www.usatoday.com/story/life/music/2013/09/16/jars-of-clay-fall-asleep-video-premiere/2818955/,106513,133,text/html
https://www.usatoday.com/sports/ncaab/polls/coaches-poll/2004-2005/,103553,164,text/html
https://www.usatoday.com/story/news/2016/08/14/news-weekend/88719656/,108702,147,text/html
https://www.usatoday.com/sitemap/2018/december/17/,201976,308,text/html
https://www.usatoday.com/story/sports/nfl/bengals/2013/12/26/aj-green-contract-jay-gruden-playoffs/4212513/,119079,136,text/html
https://www.usatoday.com/story/sports/nhl/2013/06/05/duncan-keith-jeff-carter-high-stick-apology/2390821/,104399,132,text/html
https://www.usatoday.com/sitemap/2018/october/6/,202682,308,text/html
https://www.usatoday.com/media/latest/videos/sports/fantasy/,233549,179,text/html
https://www.usatoday.com/staff/2646682001/patrick-ryan/?page=3,161624,109,text/html
https://www.usatoday.com/staff/2646682001/patrick-ryan/?page=1,176555,108,text/html
https://www.usatoday.com/videos/virtual-reality/vrtually-there/2017/07/25/bats-millions-see-worlds-largest-bat-colony-vr/103987648/,223542,134,text/html
https://www.usatoday.com/story/news/politics/onpolitics/2017/02/19/donald-trump-sweden-attack-carl-bildt/98127056/,109268,135,text/html
https://www.usatoday.com/sitemap/2019/july/12/,203672,308,text/html
https://www.usatoday.com/picture-gallery/news/politics/2018/09/04/supreme-court-nomination-hearing-brett-kavanaugh/1189760002/,166353,104,text/html
https://www.usatoday.com/videos/news/2013/12/27/4217051/,151248,106,text/html
https://www.usatoday.com/story/life/music/2016/02/04/earth-wind--fire-founder-maurice-white-dead-at-74/79841768/,117374,138,text/html
https://www.usatoday.com/staff/2684137001/steve-gardner/?page=2,176229,112,text/html
https://www.usatoday.com/sitemap/2017/august/22/,202335,309,text/html
https://www.usatoday.com/story/tech/2019/07/10/25-million-android-phones-quietly-infected-malware-says-report/1690907001/,116924,144,text/html
https://www.usatoday.com/story/money/columnist/2020/01/01/5-easy-steps-to-save-money-sanity-with-tech-in-2020/2778318001/,122889,148,text/html
https://www.usatoday.com/story/sports/nhl/2013/12/12/los-angeles-kings-fifth-straight-win-toronto-maple-leafs/3995371/,110077,133,text/html
https://www.usatoday.com/story/news/world/2013/09/16/powerful-typhoon-lashes-japan-thousands-evacuate/2819179/,109333,133,text/html
https://www.usatoday.com/story/tech/2013/07/22/tech-stocks-apple-facebook/2574161/,101778,134,text/html
https://www.usatoday.com/story/news/world/2018/08/31/trump-administration-nix-funding-u-n-palestinian-refugee-program/1161342002/,115755,135,text/html
https://www.usatoday.com/story/money/2016/02/29/judge-refuses-dismiss-lawsuit-filed-sumner-redstones-former-girlfriend/81116614/,104462,132,text/html
https://www.usatoday.com/picture-gallery/sports/olympics/2019/07/24/2020-summer-olympics-medals-how-they-look/1812376001/,152959,104,text/html
https://www.usatoday.com/story/money/business/2013/07/22/mcdonalds-2q-earnings/2574169/,105862,131,text/html
https://www.usatoday.com/sports/ncaab/sagarin/2015/team/,425055,289,text/html
https://www.usatoday.com/sitemap/2019/july/11/,202648,308,text/html
https://www.usatoday.com/videos/virtual-reality/2017/09/18/buckle-up-kyle-larson-amazing-nascar-race-vr/105627922/,222959,135,text/html
https://www.usatoday.com/story/news/nation-now/2016/07/08/multiple-snipers-dallas/86839430/,143039,147,text/html
https://www.usatoday.com/story/life/people/2016/01/18/eagles-member-glenn-frey-has-died/78976238/,109895,136,text/html
https://www.usatoday.com/story/news/politics/elections/2019/07/31/democratic-debates-booker-accuses-biden-playing-into-trumps-hands/1885320001/,109748,141,text/html
https://www.usatoday.com/story/opinion/2013/07/22/trayvon-zimmerman-naacp-column/2572955/,91788,116,text/html
https://www.usatoday.com/sitemap/2019/july/10/,203174,308,text/html
https://www.usatoday.com/story/entertainment/2020/02/22/aspiring-youth-filmmakers-earn-version-oscars-gold-cleveland-ohio/4841446002/,121035,139,text/html
https://www.usatoday.com/story/news/politics/elections/2019/11/07/democratic-presidential-candidate-john-delaney-shares-views-current-issues/4125205002/,134636,141,text/html
https://www.usatoday.com/story/news/world/2013/07/22/judge-dismisses-us-lawsuit-over-mexico-massacre/2574377/,101181,131,text/html
https://www.usatoday.com/media/latest/photos/sports/fantasy/,211665,145,text/html
